pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         3564160 function calls (3557361 primitive calls) in 19.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.047    0.047 specifiers.py:275(Specifier)
        2    0.000    0.000    0.046    0.023 __init__.py:45(<module>)
   131619    0.043    0.000    0.043    0.000 {method 'get_width' of 'pygame.Surface' objects}
        1    0.000    0.000    0.043    0.043 __init__.py:124(<module>)
       87    0.043    0.000    0.043    0.000 {built-in method nt.listdir}
    11883    0.016    0.000    0.041    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.041    0.041 _pickle.py:1(<module>)
        1    0.000    0.000    0.041    0.041 __init__.py:7(<module>)
        1    0.000    0.000    0.039    0.039 multiarray.py:7(<module>)
        1    0.000    0.000    0.038    0.038 index_tricks.py:1(<module>)
      318    0.035    0.000    0.035    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.032    0.032 overrides.py:1(<module>)
    53/48    0.000    0.000    0.032    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
    53/48    0.003    0.000    0.031    0.001 {built-in method _imp.exec_dynamic}
      200    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.030    0.030 socket.py:47(<module>)
    13269    0.028    0.000    0.028    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.026    0.026 numeric.py:1(<module>)
        1    0.000    0.000    0.026    0.026 header.py:5(<module>)
       12    0.000    0.000    0.025    0.002 pyparsing.py:4251(__init__)
      471    0.003    0.000    0.025    0.000 pyparsing.py:1167(copy)
    36/11    0.000    0.000    0.025    0.002 pyparsing.py:3743(leaveWhitespace)
        1    0.000    0.000    0.024    0.024 _distributor_init.py:7(<module>)
      201    0.024    0.000    0.024    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.024    0.024 version.py:4(<module>)
       24    0.000    0.000    0.024    0.001 __init__.py:3218(<genexpr>)
       23    0.000    0.000    0.023    0.001 __init__.py:2717(activate)
        1    0.000    0.000    0.023    0.023 __init__.py:3(<module>)
        1    0.000    0.000    0.022    0.022 __init__.py:10(<module>)
      471    0.007    0.000    0.022    0.000 copy.py:66(copy)
        1    0.000    0.000    0.022    0.022 npyio.py:1(<module>)
        1    0.000    0.000    0.021    0.021 defmatrix.py:1(<module>)
        1    0.000    0.000    0.021    0.021 sysfont.py:21(<module>)
        1    0.000    0.000    0.020    0.020 plistlib.py:47(<module>)
      348    0.014    0.000    0.020    0.000 sre_compile.py:276(_optimize_charset)
       25    0.000    0.000    0.020    0.001 pyparsing.py:1250(setParseAction)
   131/65    0.001    0.000    0.020    0.000 pyparsing.py:3363(copy)
       27    0.001    0.000    0.020    0.001 pyparsing.py:1039(_trim_arity)
       26    0.000    0.000    0.019    0.001 pyparsing.py:1047(extract_stack)
    61/11    0.001    0.000    0.019    0.002 pyparsing.py:3288(leaveWhitespace)
        1    0.000    0.000    0.019    0.019 py3k.py:4(<module>)
        1    0.000    0.000    0.019    0.019 __init__.py:9(<module>)
       26    0.000    0.000    0.019    0.001 traceback.py:200(extract_stack)
        1    0.000    0.000    0.019    0.019 _internal.py:6(<module>)
       26    0.001    0.000    0.018    0.001 traceback.py:318(extract)
        1    0.000    0.000    0.018    0.018 inspect.py:27(<module>)
       14    0.000    0.000    0.018    0.001 __init__.py:1979(_by_version_descending)
       15    0.001    0.000    0.018    0.001 {built-in method builtins.sorted}
        1    0.000    0.000    0.017    0.017 secrets.py:7(<module>)
       46    0.002    0.000    0.017    0.000 __init__.py:2546(from_location)
      321    0.002    0.000    0.017    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.016    0.016 version.py:191(Version)
        1    0.000    0.000    0.016    0.016 __init__.py:15(<module>)
   131/65    0.001    0.000    0.016    0.000 pyparsing.py:3365(<listcomp>)
        1    0.000    0.000    0.015    0.015 _datasource.py:36(<module>)
      270    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.015    0.015 platform.py:10(<module>)
       12    0.001    0.000    0.015    0.001 pyparsing.py:2653(__init__)
       48    0.014    0.000    0.014    0.000 {built-in method nt._isdir}
       61    0.000    0.000    0.014    0.000 pyparsing.py:3292(<listcomp>)
     5887    0.010    0.000    0.013    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.013    0.013 ElementTree.py:34(<module>)
        1    0.000    0.000    0.013    0.013 shutil.py:5(<module>)
     2378    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       46    0.000    0.000    0.012    0.000 __init__.py:1994(_by_version)
        1    0.000    0.000    0.012    0.012 linalg.py:10(<module>)
       32    0.000    0.000    0.012    0.000 __init__.py:2712(_get_metadata)
       11    0.000    0.000    0.011    0.001 __init__.py:2159(_handle_ns)
      568    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
 1007/248    0.009    0.000    0.011    0.000 sre_parse.py:174(getwidth)
       27    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.011    0.011 case.py:1(<module>)
        1    0.000    0.000    0.011    0.011 fromnumeric.py:3(<module>)
