pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         3564160 function calls (3557361 primitive calls) in 19.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:785(source_to_code)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.001    0.001 copy.py:49(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:5(<module>)
      427    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      876    0.001    0.000    0.001    0.000 {built-in method math.cos}
       10    0.000    0.000    0.001    0.000 __init__.py:2297(normalize_path)
     1757    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     19/4    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        2    0.001    0.001    0.001    0.001 {built-in method pygame.imageext.load_extended}
      838    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
       27    0.001    0.000    0.001    0.000 ntpath.py:450(normpath)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
       65    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
        4    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
       54    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.001    0.001 _polybase.py:8(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:2941(DistInfoDistribution)
       48    0.001    0.000    0.001    0.000 version.py:236(__str__)
       27    0.000    0.000    0.001    0.000 pkgutil.py:405(get_importer)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
   118/88    0.001    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
      504    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
        8    0.001    0.000    0.001    0.000 enum.py:177(<setcomp>)
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
      202    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
        1    0.000    0.000    0.001    0.001 sysconfig.py:1(<module>)
      838    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     15/4    0.000    0.000    0.001    0.000 pyparsing.py:3762(streamline)
        1    0.000    0.000    0.001    0.001 calendar.py:6(<module>)
       92    0.001    0.000    0.001    0.000 sre_parse.py:224(__init__)
      161    0.001    0.000    0.001    0.000 __init__.py:2605(key)
     1435    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.001    0.001 __init__.py:1132(resource_exists)
        2    0.000    0.000    0.001    0.000 __init__.py:354(get_provider)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:1148(resource_stream)
       16    0.000    0.000    0.001    0.000 __init__.py:1935(find_distributions)
        2    0.000    0.000    0.001    0.000 __init__.py:1552(__init__)
      998    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      506    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       26    0.000    0.000    0.001    0.000 core.py:6618(__init__)
       52    0.000    0.000    0.001    0.000 core.py:889(__init__)
       28    0.000    0.000    0.001    0.000 pyparsing.py:3997(__init__)
       42    0.000    0.000    0.001    0.000 pyparsing.py:2826(__str__)
      174    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       26    0.000    0.000    0.001    0.000 core.py:6623(getdoc)
        4    0.000    0.000    0.001    0.000 six.py:91(__get__)
        1    0.000    0.000    0.001    0.001 glob.py:9(glob)
        2    0.000    0.000    0.001    0.000 glob.py:39(_iglob)
      574    0.000    0.000    0.001    0.000 <string>:1(__new__)
       69    0.001    0.000    0.001    0.000 sre_compile.py:492(_get_charset_prefix)
        3    0.000    0.000    0.001    0.000 pyparsing.py:1877(__mul__)
      200    0.001    0.000    0.001    0.000 enum.py:526(__new__)
        1    0.000    0.000    0.001    0.001 histograms.py:3(<module>)
        4    0.000    0.000    0.001    0.000 six.py:80(_import_module)
      217    0.000    0.000    0.001    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.001    0.000 six.py:114(_resolve)
      299    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      200    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
      490    0.001    0.000    0.001    0.000 sre_parse.py:81(groups)
     1864    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.001    0.000 __init__.py:1556(_setup_prefix)
       98    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.001    0.001 glob.py:79(_glob1)
      372    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
        1    0.000    0.000    0.001    0.001 helper.py:4(<module>)
       99    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      547    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      269    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
     1864    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1694    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
      618    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
       35    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4450(delimitedList)
       12    0.000    0.000    0.001    0.000 abc.py:130(register)
      102    0.000    0.000    0.001    0.000 re.py:170(match)
        1    0.001    0.001    0.001    0.001 opcode.py:37(<listcomp>)
       30    0.000    0.000    0.001    0.000 ntpath.py:67(isabs)
     12/2    0.000    0.000    0.001    0.000 pyparsing.py:1926(makeOptionalList)
     1975    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       23    0.000    0.000    0.001    0.000 enum.py:442(_get_mixins_)
        1    0.000    0.000    0.001    0.001 pyparsing.py:2765(Regex)
      407    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
       12    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
       92    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 quoprimime.py:27(<module>)
    35/14    0.000    0.000    0.001    0.000 abc.py:141(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 tokenize.py:443(open)
       13    0.000    0.000    0.001    0.000 ntpath.py:523(abspath)
      134    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      199    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.001    0.001    0.001    0.001 {built-in method nt.open}
      876    0.001    0.000    0.001    0.000 {built-in method math.sin}
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
    35/14    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      200    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      356    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        2    0.001    0.000    0.001    0.000 {built-in method sys.getwindowsversion}
     1438    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      600    0.001    0.000    0.001    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
        4    0.000    0.000    0.001    0.000 core.py:122(doc_note)
      270    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:7(<module>)
      173    0.000    0.000    0.001    0.000 socket.py:76(<lambda>)
      307    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        4    0.000    0.000    0.001    0.000 re.py:205(split)
       74    0.000    0.000    0.001    0.000 __init__.py:2753(__getattr__)
        1    0.000    0.000    0.001    0.001 sysconfig.py:138(is_python_build)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.001    0.001 sysconfig.py:121(_is_python_source_dir)
        1    0.000    0.000    0.001    0.001 einsumfunc.py:4(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 __init__.py:1403(has_resource)
       40    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
       23    0.000    0.000    0.001    0.000 enum.py:453(_find_data_type)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
      261    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     1080    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6704(add_newdoc_for_scalar_type)
      306    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      618    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        3    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      346    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        1    0.000    0.000    0.000    0.000 fnmatch.py:48(filter)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
       23    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
       23    0.000    0.000    0.000    0.000 __init__.py:2837(<listcomp>)
    13/12    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
       30    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      614    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.000    0.000 __init__.py:1648(MemoizedZipManifests)
        8    0.000    0.000    0.000    0.000 enum.py:830(__or__)
        2    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       92    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      614    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1583(get_resource_stream)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
       92    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
      170    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
      613    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      175    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
      134    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      276    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      110    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
      184    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      206    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
      269    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
      780    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
      726    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _exceptions.py:7(<module>)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       84    0.000    0.000    0.000    0.000 version.py:65(_compare)
       96    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3935(__init__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       76    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       14    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
       17    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
      174    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      381    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
      176    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
      273    0.000    0.000    0.000    0.000 function_base.py:434(_add_docstring)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2045(suppress)
       10    0.000    0.000    0.000    0.000 __init__.py:2346(yield_lines)
       30    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       30    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
       92    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:3102(_find_adapter)
       41    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
        4    0.000    0.000    0.000    0.000 os.py:681(__setitem__)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
      190    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
        7    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
      466    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       11    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4783(<genexpr>)
       10    0.000    0.000    0.000    0.000 extras.py:237(__init__)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
       42    0.000    0.000    0.000    0.000 version.py:47(__lt__)
        8    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4781(<lambda>)
       42    0.000    0.000    0.000    0.000 version.py:53(__eq__)
      317    0.000    0.000    0.000    0.000 overrides.py:112(array_function_dispatch)
       78    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        2    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
      104    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
      122    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1512(_array_str_implementation)
      187    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 glob.py:114(_iterdir)
        2    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        6    0.000    0.000    0.000    0.000 numeric.py:2400(extend_all)
       82    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       65    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        1    0.000    0.000    0.000    0.000 inspect.py:2407(_ParameterKind)
       10    0.000    0.000    0.000    0.000 extras.py:241(getdoc)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
      417    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       41    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
       10    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6316(__new__)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8058(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      282    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       65    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       19    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
      526    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        3    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2020(__invert__)
       46    0.000    0.000    0.000    0.000 __init__.py:1902(__init__)
       19    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:381(_calc_mode)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:465(wrapper)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        8    0.000    0.000    0.000    0.000 core.py:8063(getdoc)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 specifiers.py:78(_IndividualSpecifier)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       32    0.000    0.000    0.000    0.000 __init__.py:2321(_is_egg_path)
       78    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
       39    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        1    0.000    0.000    0.000    0.000 __init__.py:3179(_initialize)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3392(<genexpr>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3829(__init__)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      596    0.000    0.000    0.000    0.000 __init__.py:2062(__bool__)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3164(__init__)
      116    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:75(__call__)
       49    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       46    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
       26    0.000    0.000    0.000    0.000 traceback.py:272(__getitem__)
       10    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
      193    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
       60    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4757(<lambda>)
        2    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4214(copy)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 _compat.py:20(with_metaclass)
        9    0.000    0.000    0.000    0.000 pyparsing.py:4017(__str__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1024(_Unpickler)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       15    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
        2    0.000    0.000    0.000    0.000 __init__.py:1390(__init__)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
        2    0.000    0.000    0.000    0.000 tokenize.py:374(read_or_stop)
        1    0.000    0.000    0.000    0.000 defchararray.py:1810(chararray)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2376(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
       13    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        4    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      188    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4781(<genexpr>)
       11    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
      118    0.000    0.000    0.000    0.000 version.py:352(<lambda>)
        1    0.000    0.000    0.000    0.000 tempfile.py:627(SpooledTemporaryFile)
        2    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
       14    0.000    0.000    0.000    0.000 __init__.py:2328(_is_unpacked_egg)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       51    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:536(_code_to_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1972(__xor__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
      134    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1186(__init__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
      139    0.000    0.000    0.000    0.000 pyparsing.py:3543(<genexpr>)
        2    0.000    0.000    0.000    0.000 core.py:2929(__array_finalize__)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
       24    0.000    0.000    0.000    0.000 __init__.py:668(__iter__)
      134    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:2773(__new__)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
        1    0.000    0.000    0.000    0.000 runner.py:29(TextTestResult)
        8    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
      109    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:441(__enter__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3458(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
       61    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        2    0.000    0.000    0.000    0.000 os.py:687(__delitem__)
       30    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       51    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       14    0.000    0.000    0.000    0.000 __init__.py:3185(<genexpr>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
